deploy_date,deploy_time,download_date,download_time,download_group,name,letter_name,name_order,sn,wp_name,lat,long,depth_m,battery_date,basin,local
31-Aug-17,,7-Jul-18,,1,15,C,21,132373,15_a,45.85742,-74.7778,21,20-Aug-17,North Basin,Bay Maskinonge in front of wood cabin (across from pond)
31-Aug-17,,7-Jul-18,,1,16,D,20,132364,16_a,45.84565,-74.7792,15,20-Aug-17,North Basin,West of Hidden Bay off island
31-Aug-17,,4-Jul-18,,1,17,E,19,132368,17_a,45.83631,-74.7771,24,20-Aug-17,West Basin,Off the point at Cedar Chalet
7-Jul-18,,20-Jul-18,,2,3,R,6,109388,3_b,45.807044,-74.756964,44,7-Jul-18,East Basin,Near Clear Lake
4-Jul-18,,20-Jul-18,,2,5,I,15,132365,5_b,45.81654259,-74.78039595,25,4-Jul-18,West Basin,Off point of Pat Johnson's Island
7-Jul-18,,20-Jul-18,,2,15,C,21,132373,15_b,45.857308,-74.778039,21,7-Jul-18,North Basin,Bay Maskinonge in front of wood cabin (across from pond)
5-Jul-18,,1-Jul-19,,3,1,O,9,109389,1_c,45.81531753,-74.77115717,22,5-Jul-18,East Basin,Indian Isl N Shallows
5-Jul-18,,1-Jul-19,,3,2,V,2,132374,2_c,45.78532779,-74.74691947,42,5-Jul-18,East Basin,NFGC directly in front of white/blue cabin
20-Jul-18,,2-Jul-19,,3,3,R,6,109388,3_c,45.8070772,-74.75702117,44,7-Jul-18,East Basin,Near Clear Lake
5-Jul-18,,4-Jul-19,,3,4,U,3,132367,4_c,45.79756524,-74.75584427,20,5-Jul-18,East Basin,220m N of Blueberry Island
20-Jul-18,,2-Jul-19,,3,5,I,15,132365,5_c,45.81647951,-74.78032054,25,4-Jul-18,West Basin,Off point of Pat Johnson's Island
4-Jul-18,,3-Jul-19,,3,6,J,14,109369,6_c,45.81089557,-74.78317439,18,4-Jul-18,West Basin,Narrows to Margaret Bay
4-Jul-18,,3-Jul-19,,3,7,G,17,109374,7_c,45.82046808,-74.79028719,18,4-Jul-18,West Basin,Behind Pine and Cypress Islands
7-Jul-18,,5-Jul-19,,3,8,F,18,132372,8_c,45.830426,-74.779732,15,7-Jul-18,West Basin,In front of McKinnon's house
5-Jul-18,,5-Jul-19,,3,9,M,11,109383,9_c,45.83017764,-74.76745589,15,5-Jul-18,East Basin,In front of Dio Gardi House
5-Jul-18,,7-Jul-19,,3,10,N,10,132370,10_c,45.82208809,-74.76230621,30,5-Jul-18,East Basin,NE of front of Levesque
5-Jul-18,,1-Jul-19,,3,11,P,8,132366,11_c,45.81256196,-74.75956042,64,5-Jul-18,East Basin,Middle of Big Lake
5-Jul-18,,4-Jul-19,,3,12,T,4,132369,12_c,45.79769734,-74.7661696,10,5-Jul-18,East Basin,Entrance of Black Bay
6-Jul-18,,2-Jul-19,,3,13,A,23,132371,13_c,45.84437905,-74.7691549,47,6-Jul-18,North Basin,Hamilton Bay between islands
