"Date and Time (UTC)","Receiver","Transmitter","Transmitter Name","Transmitter Serial","Sensor Value","Sensor Unit","Station Name","Latitude","Longitude"
2018-07-04 21:34:16,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 21:38:52,"VR2W-132365","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-04 21:39:45,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 21:42:27,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 21:45:06,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 21:47:39,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 21:47:53,"VR2W-132365","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-04 21:49:59,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 21:51:53,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 21:54:15,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 21:56:13,"VR2W-132365","A69-9006-15747",NA,1276051,23.3463,"m",NA,NA,NA
2018-07-04 21:58:45,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 22:01:02,"VR2W-132365","A69-9006-15747",NA,1276051,23.3463,"m",NA,NA,NA
2018-07-04 22:02:51,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 22:05:04,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 22:06:26,"VR2W-132365","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-04 22:06:45,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 22:08:40,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 22:08:54,"VR2W-132365","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-04 22:09:50,"VR2W-132365","A69-9006-14565",NA,1294358,26.6938,"°C",NA,NA,NA
2018-07-04 22:11:05,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 22:11:44,"VR2W-132365","A69-9006-14566",NA,1294358,-9.999999999998e-05,"m",NA,NA,NA
2018-07-04 22:12:52,"VR2W-132365","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-04 22:13:09,"VR2W-132365","A69-9006-15747",NA,1276051,23.3463,"m",NA,NA,NA
2018-07-04 22:14:06,"VR2W-132365","A69-9006-14565",NA,1294358,26.8507,"°C",NA,NA,NA
2018-07-04 22:14:58,"VR2W-132365","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-04 22:15:51,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 22:16:07,"VR2W-132365","A69-9006-14566",NA,1294358,0.3031,"m",NA,NA,NA
2018-07-04 22:16:26,"VR2W-132365","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-04 22:17:58,"VR2W-132365","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-04 22:18:31,"VR2W-132365","A69-9006-15747",NA,1276051,23.3463,"m",NA,NA,NA
2018-07-04 22:23:27,"VR2W-132365","A69-9006-15747",NA,1276051,23.3463,"m",NA,NA,NA
2018-07-04 22:25:25,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 22:27:56,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 22:30:12,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 22:32:00,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 22:34:08,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 22:35:39,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 22:37:15,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 22:39:02,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 22:41:08,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 22:42:35,"VR2W-132365","A69-9006-15747",NA,1276051,23.3463,"m",NA,NA,NA
2018-07-04 22:44:05,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 22:45:38,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 22:47:18,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 22:49:12,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 22:51:34,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 22:53:33,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 22:56:03,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 22:58:09,"VR2W-132365","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-04 22:58:19,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 23:00:06,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:02:13,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 23:03:42,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:05:14,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 23:06:52,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:08:41,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 23:10:55,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:12:36,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 23:14:32,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:16:59,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 23:19:07,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:20:38,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 23:22:12,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:23:56,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 23:25:58,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:28:35,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 23:31:04,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:33:15,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 23:34:53,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:36:41,"VR2W-132365","A69-9006-15747",NA,1276051,23.3463,"m",NA,NA,NA
2018-07-04 23:38:53,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:40:31,"VR2W-132365","A69-9006-15747",NA,1276051,23.3463,"m",NA,NA,NA
2018-07-04 23:42:22,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:44:37,"VR2W-132365","A69-9006-15747",NA,1276051,23.3463,"m",NA,NA,NA
2018-07-04 23:46:23,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:48:28,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 23:51:14,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:54:00,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 23:56:45,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-04 23:59:30,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-05 00:02:14,"VR2W-132365","A69-9006-15746",NA,1276051,4.414,"°C",NA,NA,NA
2018-07-05 00:04:57,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-15 15:34:00,"VR2W-132373","A69-9006-15757",NA,1276056,17.8887,"m",NA,NA,NA
2018-07-15 15:42:55,"VR2W-132373","A69-9006-15757",NA,1276056,17.5855,"m",NA,NA,NA
2018-07-15 15:45:22,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 15:47:33,"VR2W-132373","A69-9006-15757",NA,1276056,17.8887,"m",NA,NA,NA
2018-07-15 15:49:08,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
